Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nepal,NPL,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8951048951049
Nepal,NPL,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.786013986014
Nepal,NPL,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7678321678322
Nepal,NPL,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7426573426573
Nepal,NPL,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7174825174825
Nepal,NPL,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6923076923077
Nepal,NPL,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5664335664336
Nepal,NPL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4615384615385
Nepal,NPL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3566433566434
Nepal,NPL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2517482517483
Nepal,NPL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1468531468531
Nepal,NPL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.034965034965
Nepal,NPL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9300699300699
Nepal,NPL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6433566433566
Nepal,NPL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.7272727272727
Nepal,NPL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.8881118881119
Nepal,NPL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.8881118881119
Nepal,NPL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.9440559440559
Nepal,NPL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.9440559440559
Nepal,NPL,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.9440559440559
Nepal,NPL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8461538461538
Nepal,NPL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8461538461538
Nepal,NPL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8461538461538
Nepal,NPL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.9160839160839
Nepal,NPL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8461538461538
Nepal,NPL,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.8461538461538
Nepal,NPL,2023,Arable land (% of land area),AG.LND.ARBL.ZS,12.5831880013952
Nepal,NPL,2022,Arable land (% of land area),AG.LND.ARBL.ZS,12.5831880013952
Nepal,NPL,2021,Arable land (% of land area),AG.LND.ARBL.ZS,12.8107938611789
Nepal,NPL,2020,Arable land (% of land area),AG.LND.ARBL.ZS,13.0383990233694
Nepal,NPL,2019,Arable land (% of land area),AG.LND.ARBL.ZS,13.2660048831531
Nepal,NPL,2018,Arable land (% of land area),AG.LND.ARBL.ZS,13.4936107429369
Nepal,NPL,2017,Arable land (% of land area),AG.LND.ARBL.ZS,13.7212166027206
Nepal,NPL,2016,Arable land (% of land area),AG.LND.ARBL.ZS,13.9488217649111
Nepal,NPL,2015,Arable land (% of land area),AG.LND.ARBL.ZS,14.1764276246948
Nepal,NPL,2014,Arable land (% of land area),AG.LND.ARBL.ZS,14.4040334844785
Nepal,NPL,2013,Arable land (% of land area),AG.LND.ARBL.ZS,14.6316393442623
Nepal,NPL,2012,Arable land (% of land area),AG.LND.ARBL.ZS,14.8592445064527
Nepal,NPL,2011,Arable land (% of land area),AG.LND.ARBL.ZS,15.0868503662365
Nepal,NPL,2010,Arable land (% of land area),AG.LND.ARBL.ZS,15.2075340076735
Nepal,NPL,2009,Arable land (% of land area),AG.LND.ARBL.ZS,15.3470526682944
Nepal,NPL,2008,Arable land (% of land area),AG.LND.ARBL.ZS,15.4865713289152
Nepal,NPL,2007,Arable land (% of land area),AG.LND.ARBL.ZS,15.6260899895361
Nepal,NPL,2006,Arable land (% of land area),AG.LND.ARBL.ZS,15.765608650157
Nepal,NPL,2005,Arable land (% of land area),AG.LND.ARBL.ZS,15.9051273107778
Nepal,NPL,2004,Arable land (% of land area),AG.LND.ARBL.ZS,16.0446459713987
Nepal,NPL,2003,Arable land (% of land area),AG.LND.ARBL.ZS,16.1492849668643
Nepal,NPL,2002,Arable land (% of land area),AG.LND.ARBL.ZS,16.2888036274852
Nepal,NPL,2001,Arable land (% of land area),AG.LND.ARBL.ZS,16.428322288106
Nepal,NPL,2000,Arable land (% of land area),AG.LND.ARBL.ZS,16.421346355075
Nepal,NPL,1999,Arable land (% of land area),AG.LND.ARBL.ZS,16.4363636363636
